,does not use,use,% of total used
Python,3134,9363,74.92
R,8845,3652,29.22
Sql,7069,5428,43.43
C,11548,949,7.59
C++,11141,1356,10.85
Java,10899,1598,12.79
Javascript,10777,1720,13.76
Typescript,12144,353,2.82
Bash,10734,1763,14.11
Matlab,11535,962,7.7
None,12428,69,0.55
Other,11481,1016,8.13
